TimeStamp read_tf.outport_pose.0 read_tf.outport_pose.1 read_tf.outport_pose.2 read_tf.outport_pose.3 read_tf.outport_pose.4 read_tf.outport_pose.5 read_tf.outport_pose.6 jr3.sensor_0.wrench_filter_0.force.x jr3.sensor_0.wrench_filter_0.force.y jr3.sensor_0.wrench_filter_0.force.z jr3.sensor_0.wrench_filter_0.torque.x jr3.sensor_0.wrench_filter_0.torque.y jr3.sensor_0.wrench_filter_0.torque.z
0 0 0.51 0 0.270598050073098 -0.653281482438188 0.653281482438189 -0.270598050073099 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.1 1.35240100000017e-05 0.5025000023 0.000223764270000003 0.256572977974961 -0.661697365881694 0.64332766426562 -0.287152258129427 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.2 0.000131216260000004 0.495 0.000696583720000005 0.253699870654022 -0.669299989628045 0.632726043978788 -0.295519293422585 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.3 0.000392943150000005 0.4875 0.00133465717 0.254221416351279 -0.676790620490881 0.620867568470919 -0.303066642679343 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.4 0.000823743210000005 0.48 0.00212128750000001 0.256991794740795 -0.684542696940914 0.607145159734941 -0.3110165084223 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.5 0.00145242404 0.4725 0.00305926571 0.261614114527906 -0.692940860315524 0.590936629364457 -0.31966375969186 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.6 0.00231727172000001 0.465 0.00416355995 0.267819467416748 -0.702493092183957 0.571465973389073 -0.328941985105141 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.7 0.00347255514 0.4575 0.00546183979 0.275122433107519 -0.714014847254828 0.547705229621749 -0.338392414432787 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.8 0.005 0.45 0.00699999975000001 0.28251767894311 -0.728895569183386 0.51813023442278 -0.34703900427246 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
0.9 0.00699888641 0.4425 0.00883661356 0.288885529662504 -0.745273278413876 0.485757559893466 -0.353768970148872 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1 0.0094795878 0.435 0.01098184788 0.293762594278153 -0.759645352829971 0.45622474392199 -0.358471001839916 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.1 0.01240416038 0.4275 0.01341879108 0.29690029663174 -0.771527985844532 0.431139828723238 -0.361542845327026 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.2 0.01570337249 0.42 0.01611253584 0.298562733620558 -0.780329726371956 0.4119009091477 -0.36370792303246 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.3 0.01927099592 0.4125 0.0190063898 0.299551978007041 -0.785309829451625 0.399609101180806 -0.365882017175206 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.4 0.02296275075 0.405 0.02202060827 0.301088316106677 -0.78555710795625 0.39503583633209 -0.369042740149247 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.5 0.02660295383 0.3975 0.02505553228 0.304520734627233 -0.780006707189587 0.398614859645191 -0.374116095071294 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.6 0.03 0.39 0.02799999975 0.310979886182232 -0.767484387394839 0.410371688643024 -0.381908762213606 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.7 0.03299970516 0.3825 0.0307574468 0.320981824552522 -0.75003185899408 0.425471048421324 -0.39165962998001 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.8 0.03559387438 0.375 0.0332962463 0.333869164095089 -0.730975313520649 0.438980627595142 -0.401873712608837 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
1.9 0.0378193694 0.3675 0.03560838809 0.348963145945632 -0.710919039211306 0.450305296594724 -0.412363895506553 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2 0.0397206566 0.36 0.03769464757 0.365596326511508 -0.690424684048965 0.459056492561657 -0.422989619652973 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.1 0.041345036675 0.3525 0.03956287898 0.383063828230316 -0.670008572672786 0.465153155705271 -0.433570245501164 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.2 0.042738778062 0.345 0.041225871376 0.400755652846248 -0.650078123089413 0.468743482143056 -0.443928922847708 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.3 0.043944537011 0.3375 0.042699289736 0.418206600900904 -0.630915155774435 0.470115606553617 -0.453916976606688 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.4 0.045 0.33 0.04399999975 0.43509761184158 -0.612687346601673 0.469618515711775 -0.463425002761639 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.5 0.045937275889 0.3225 0.045148298767 0.450825096677202 -0.595721527524263 0.46735578391284 -0.472706214358734 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.6 0.046779825514 0.315 0.04617199891 0.464729538982643 -0.580214319425652 0.464198248408303 -0.481557665607216 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.7 0.047541097882 0.3075 0.047089815789 0.476466804287427 -0.566266586080808 0.461377651133639 -0.489338534079342 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.8 0.048227421655 0.3 0.047911192018 0.485780701096049 -0.55400791133984 0.459874034373234 -0.495588758069415 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
2.9 0.048838862338 0.2925 0.048637705821 0.492518171230231 -0.543422747877197 0.460591505264656 -0.499973032648426 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
3 0.049367184764 0.285 0.049260951378 0.496655352520211 -0.534060318230425 0.464615197816706 -0.50224073437186 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
3.1 0.049786539947 0.2775 0.049751965536 0.498480895262652 -0.523954463551519 0.474077434002251 -0.502234112493792 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
3.2 0.05 0.27 0.04999999975 0.49999999999375 -0.50000000000625 0.50000000000625 -0.49999999999375 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
3.3 0.049786539947 0.2625 0.049751965536 0.502234112493792 -0.474077434002251 0.523954463551519 -0.498480895262652 0.001 -17.6776695296637 -17.6776695296637 0.001 0.001 0.001
