TimeStamp read_tf.outport_pose.0 read_tf.outport_pose.1 read_tf.outport_pose.2 read_tf.outport_pose.3 read_tf.outport_pose.4 read_tf.outport_pose.5 read_tf.outport_pose.6 jr3.sensor_0.wrench_filter_0.force.x jr3.sensor_0.wrench_filter_0.force.y jr3.sensor_0.wrench_filter_0.force.z jr3.sensor_0.wrench_filter_0.torque.x jr3.sensor_0.wrench_filter_0.torque.y jr3.sensor_0.wrench_filter_0.torque.z
0 0.191126 -1.23468 -1.04092 0.787202139842537 0.415721073850777 0.370199065764019 -0.265408047148417 -0.516373 0.254524 0.977569 -0.00529801 0.0214789 0.00151372
0.00359999999999872 0.191126 -1.23468 -1.04092 0.787202139842537 0.415721073850777 0.370199065764019 -0.265408047148417 -0.593829 0.254524 0.933134 -0.00264901 0.0303232 0
0.00500000000000256 0.191126 -1.23468 -1.04092 0.787202139842537 0.415721073850777 0.370199065764019 -0.265408047148417 -0.593829 0.254524 0.933134 -0.00264901 0.0303232 0
0.00860000000000127 0.191126 -1.23468 -1.04092 0.787202139842537 0.415721073850777 0.370199065764019 -0.265408047148417 -0.516373 0.229072 1.022 -0.0145695 0.00884426 0
0.00999999999999801 0.191126 -1.23468 -1.04092 0.787202139842537 0.415721073850777 0.370199065764019 -0.265408047148417 -0.516373 0.229072 1.022 -0.0145695 0.00884426 0
0.0137 0.191126 -1.23468 -1.04092 0.787202139842537 0.415721073850777 0.370199065764019 -0.265408047148417 -0.516373 0.254524 0.933134 -0.00529801 0.0227424 0
0.0150000000000006 0.191126 -1.23468 -1.04092 0.787202139842537 0.415721073850777 0.370199065764019 -0.265408047148417 -0.516373 0.254524 0.933134 -0.00529801 0.0227424 0
0.0185999999999993 0.191126 -1.23468 -1.04092 0.787202139842537 0.415721073850777 0.370199065764019 -0.265408047148417 -0.542192 0.254524 1.022 -0.010596 0.0164251 0
0.0200000000000031 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.542192 0.254524 1.022 -0.010596 0.0164251 0
0.0236000000000018 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.516373 0.178167 0.888699 -0.0198675 0.0075808 0
0.0249999999999986 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.516373 0.178167 0.888699 -0.0198675 0.0075808 0
0.0287000000000006 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.490555 0.203619 1.11087 -0.00794702 0.0101077 0
0.0300000000000011 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.490555 0.203619 1.11087 -0.00794702 0.0101077 0
0.0335999999999999 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.516373 0.254524 0.933134 -0.0119205 0.0277963 0.00151372
0.0350000000000037 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.516373 0.254524 0.933134 -0.0119205 0.0277963 0.00151372
0.0386999999999986 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.490555 0.127262 0.977569 -0.0225166 -0.0101077 0
0.0399999999999991 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.490555 0.127262 0.977569 -0.0225166 -0.0101077 0
0.0435999999999979 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.490555 0.127262 2.39949 -0.0119205 0.0151616 0.00151372
0.0450000000000017 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.490555 0.127262 2.39949 -0.0119205 0.0151616 0.00151372
0.0486000000000004 0.191652 -1.23516 -1.04183 0.786489569272027 0.416148772092442 0.369675797543778 -0.267570853462454 -0.309824 0.229072 2.6661 -0.0304636 -0.0176885 0.00605487
